variant,window,return,max_dd,n,net_wr,pf,balance,calmar
baseline,2020-2023,9.470005,-0.278874,686,0.259475,1.434505,104700.05,33.958044
ls5_24,2020-2023,11.095612,-0.259425,659,0.264036,1.529565,120956.12,42.769979
cond_brk1.00,2020-2023,10.793025,-0.269652,667,0.260870,1.502778,117930.25,40.025708
cond_brk1.25,2020-2023,10.591897,-0.270044,666,0.261261,1.498404,115918.97,39.222795
cond_brk1.50,2020-2023,11.280554,-0.259425,661,0.263238,1.526592,122805.54,43.482868
cond_brk1.75,2020-2023,11.280554,-0.259425,661,0.263238,1.526592,122805.54,43.482868
cond_brk2.00,2020-2023,11.411774,-0.259425,660,0.263636,1.531254,124117.74,43.988678
