variant,window,return,max_dd,n,net_wr,pf,balance,calmar
baseline,2020-2023,9.470005,-0.278874,686,0.259475,1.434505,104700.05,33.958044
ls5_24,2020-2023,11.095612,-0.259425,659,0.264036,1.529565,120956.12,42.769979
ls5_cond_brk1.0,2020-2023,10.793025,-0.269652,667,0.260870,1.502778,117930.25,40.025708
ls5_cond_brk1.5,2020-2023,11.280554,-0.259425,661,0.263238,1.526592,122805.54,43.482868
ls5_cond_adx20,2020-2023,9.510099,-0.278874,682,0.258065,1.441846,105100.99,34.101816
ls5_cond_atr0.5,2020-2023,10.380312,-0.264590,681,0.261380,1.484949,113803.12,39.231685
ls5_cond_brk1.0_adx20,2020-2023,9.509263,-0.278874,682,0.258065,1.441819,105092.63,34.098815
