symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
BTCUSDT,2024-2026,498,SELL,time,-80.1450,-0.2463,6,1,1,1,0.007109,3.7014,1.2309,25.1351,36.00,11.00
BTCUSDT,2024-2026,499,BUY,sl,-271.6166,-1.0000,7,1,1,1,0.004236,5.4393,0.5664,23.4728,2.00,6.00
BTCUSDT,2024-2026,500,SELL,sl,-256.2016,-1.0000,8,1,1,1,0.006442,4.6010,0.3139,25.7511,5.00,7.00
BTCUSDT,2024-2026,501,BUY,time,1804.5385,8.0279,0,0,1,0,0.004134,4.3114,0.0536,13.1363,156.00,26.00
BTCUSDT,2024-2026,502,SELL,sl,-280.7159,-1.0000,1,1,1,1,0.004995,6.4648,0.2237,15.9421,49.00,1.00
BTCUSDT,2024-2026,503,BUY,sl,-310.1658,-1.0000,2,1,1,1,0.002489,6.1012,0.1775,15.2516,26.00,2.00
BTCUSDT,2024-2026,504,BUY,sl,-280.9381,-1.0000,3,1,2,2,0.004087,3.8866,1.3758,34.0316,1.00,3.00
BTCUSDT,2024-2026,505,SELL,sl,-276.8229,-1.0000,4,1,1,1,0.004205,5.1516,0.1808,31.4683,3.00,40.00
BTCUSDT,2024-2026,506,SELL,sl,-274.2653,-1.0000,5,1,2,2,0.004133,4.4988,0.5698,23.4266,24.00,19.00
BTCUSDT,2024-2026,507,BUY,sl,-261.0939,-1.0000,6,1,1,1,0.005578,5.6429,1.2176,28.4017,3.00,3.00
BTCUSDT,2024-2026,508,SELL,sl,-256.9818,-1.0000,7,1,1,1,0.005881,6.0834,1.0184,19.2481,3.00,18.00
BTCUSDT,2024-2026,509,SELL,time,47.1989,0.3640,0,0,2,0,0.004239,9.0153,0.0330,37.9546,28.00,14.00
BTCUSDT,2024-2026,510,SELL,time,95.2528,0.5924,0,0,3,0,0.003788,2.9955,0.8982,24.0772,54.00,13.00
BTCUSDT,2024-2026,511,BUY,sl,-261.2791,-1.0000,1,0,1,1,0.004809,3.5640,0.3042,12.8812,9.00,19.00
BTCUSDT,2024-2026,512,SELL,time,318.2888,1.5760,0,0,1,0,0.003823,5.2233,0.1112,21.9863,24.00,33.00
BTCUSDT,2024-2026,513,BUY,sl,-266.0124,-1.0000,1,0,1,1,0.004263,4.8051,0.0423,24.1555,7.00,44.00
BTCUSDT,2024-2026,514,SELL,time,643.3602,2.9319,0,0,1,0,0.006342,3.8841,0.5700,19.3389,52.00,20.00
BTCUSDT,2024-2026,516,SELL,time,5501.5625,23.6779,0,0,2,0,0.004487,3.2106,0.2628,24.3350,139.00,81.00
BTCUSDT,2024-2026,517,BUY,sl,-317.1256,-1.0000,1,0,1,1,0.006741,6.5899,0.3155,26.1081,4.00,6.00
BTCUSDT,2024-2026,518,SELL,time,29.6956,0.2036,0,0,1,0,0.006689,4.2702,0.3544,16.9884,24.00,50.00
BTCUSDT,2024-2026,519,BUY,sl,-310.9552,-1.0000,1,0,1,1,0.007545,4.8170,0.2057,25.6811,6.00,21.00
BTCUSDT,2024-2026,520,BUY,sl,-313.3417,-1.0000,2,0,2,2,0.006129,4.0937,0.1176,20.5240,5.00,22.00
BTCUSDT,2024-2026,521,BUY,sl,-335.3181,-1.0000,3,0,3,3,0.003337,4.6225,0.3561,27.1960,16.00,26.00
BTCUSDT,2024-2026,522,SELL,sl,-330.9320,-1.0000,4,0,1,1,0.003376,4.2746,0.5130,29.7093,2.00,4.00
BTCUSDT,2024-2026,523,BUY,time,231.5770,1.0008,0,0,1,0,0.004390,3.7808,1.9143,28.7014,29.00,2.00
BTCUSDT,2024-2026,524,SELL,sl,-307.8290,-1.0000,1,0,1,1,0.005657,4.7405,0.8849,15.8712,6.00,30.00
BTCUSDT,2024-2026,525,SELL,time,348.0734,1.3582,0,0,2,0,0.008335,3.5417,0.4910,20.2521,42.00,5.00
BTCUSDT,2024-2026,526,BUY,time,128.4208,0.5893,0,0,1,0,0.005414,3.3347,0.3623,20.3497,45.00,10.00
BTCUSDT,2024-2026,528,BUY,sl,-312.2431,-1.0000,1,1,2,1,0.005173,3.9435,0.0539,22.0881,1.00,5.00
BTCUSDT,2024-2026,529,BUY,sl,-301.3967,-1.0000,2,1,3,2,0.006529,3.6520,0.7665,15.4491,4.00,10.00
BTCUSDT,2024-2026,530,SELL,time,-57.7915,-0.1182,3,1,1,1,0.006991,5.2518,0.8545,16.5129,18.00,14.00
BTCUSDT,2024-2026,531,SELL,time,-159.7644,-0.4793,4,1,2,2,0.005942,3.5697,1.6462,21.6988,16.00,13.00
BTCUSDT,2024-2026,533,BUY,sl,-308.5953,-1.0000,5,1,1,1,0.004427,8.2723,0.4161,12.2118,1.00,58.00
