symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
ETHUSDT,2020-2023,1,SELL,sl,-109.2315,-1.0000,1,0,1,1,0.007261,4.7059,1.1765,24.0858,11.00,
ETHUSDT,2020-2023,2,BUY,time,476.4787,4.8924,0,0,1,0,0.009198,3.6199,1.5385,35.2314,100.00,5.00
ETHUSDT,2020-2023,3,BUY,sl,-109.8929,-1.0000,1,0,2,1,0.011013,4.0308,1.3785,21.1814,1.00,12.00
ETHUSDT,2020-2023,4,SELL,sl,-110.0273,-1.0000,2,0,1,1,0.009237,5.9498,0.8841,30.9631,2.00,39.00
ETHUSDT,2020-2023,5,BUY,time,132.4311,1.3770,0,0,1,0,0.009357,3.6280,0.1220,24.4783,60.00,20.00
ETHUSDT,2020-2023,6,BUY,time,840.6079,8.2748,0,0,2,0,0.007147,4.4919,0.3229,26.9776,48.00,23.00
ETHUSDT,2020-2023,7,BUY,sl,-116.5452,-1.0000,1,0,3,1,0.013740,4.1285,1.0707,13.3142,8.00,28.00
ETHUSDT,2020-2023,8,BUY,sl,-114.3613,-1.0000,2,0,4,2,0.016765,3.7321,0.4139,16.3395,1.00,25.00
ETHUSDT,2020-2023,9,SELL,time,6.6348,0.1469,0,0,1,0,0.007751,5.7356,0.1652,20.1255,38.00,110.00
ETHUSDT,2020-2023,10,BUY,time,509.2851,4.7642,0,0,1,0,0.007594,4.3165,0.5116,33.0090,79.00,45.00
ETHUSDT,2020-2023,11,BUY,sl,-120.8493,-1.0000,1,0,2,1,0.011097,4.7375,0.3185,22.0652,17.00,19.00
ETHUSDT,2020-2023,12,BUY,time,-24.3376,-0.1461,2,0,3,2,0.009568,2.9101,0.9888,14.2533,51.00,43.00
ETHUSDT,2020-2023,13,BUY,time,983.3113,8.8175,0,0,4,0,0.008289,4.6230,1.8665,20.4496,64.00,25.00
ETHUSDT,2020-2023,14,BUY,sl,-128.5242,-1.0000,1,0,5,1,0.013271,3.9431,0.0402,20.3093,44.00,6.00
ETHUSDT,2020-2023,15,BUY,time,1493.1207,12.3935,0,0,6,0,0.010634,3.5964,1.5125,22.7888,96.00,35.00
ETHUSDT,2020-2023,16,SELL,time,114.0720,0.8757,0,0,1,0,0.017619,4.5122,0.0298,26.9514,48.00,1.00
ETHUSDT,2020-2023,17,BUY,sl,-141.2070,-1.0000,1,1,1,1,0.022570,3.5233,0.7526,23.1518,13.00,7.00
ETHUSDT,2020-2023,18,BUY,sl,-141.0641,-1.0000,2,1,2,2,0.017012,6.2399,0.4360,19.5972,29.00,3.00
ETHUSDT,2020-2023,19,SELL,sl,-138.1386,-1.0000,3,1,1,1,0.024395,5.4721,0.1735,43.1225,3.00,16.00
ETHUSDT,2020-2023,20,BUY,sl,-139.3039,-1.0000,4,1,1,1,0.013959,4.9838,0.5256,28.7440,7.00,21.00
ETHUSDT,2020-2023,21,BUY,sl,-141.2747,-1.0000,5,1,2,2,0.009032,5.1123,0.1442,14.3647,25.00,34.00
ETHUSDT,2020-2023,22,SELL,time,604.6820,4.6889,0,0,1,0,0.014066,3.8445,0.1626,20.3651,70.00,12.00
ETHUSDT,2020-2023,23,SELL,sl,-142.5633,-1.0000,1,1,2,1,0.014571,4.1074,0.8815,21.9086,1.00,55.00
ETHUSDT,2020-2023,24,SELL,sl,-139.8447,-1.0000,2,1,3,2,0.018178,3.4591,0.4004,19.4126,3.00,18.00
ETHUSDT,2020-2023,25,BUY,sl,-140.0886,-1.0000,3,1,1,1,0.013236,5.6845,0.6486,27.4165,13.00,19.00
ETHUSDT,2020-2023,26,SELL,sl,-138.1401,-1.0000,4,1,1,1,0.014568,3.7365,0.1237,22.3268,8.00,11.00
ETHUSDT,2020-2023,27,BUY,sl,-140.4097,-1.0000,5,1,1,1,0.008867,4.5565,0.8918,23.7004,13.00,33.00
ETHUSDT,2020-2023,28,BUY,time,146.7159,1.2059,0,0,2,0,0.009506,4.4191,0.3850,21.3643,35.00,8.00
ETHUSDT,2020-2023,29,SELL,time,785.3083,6.0543,0,0,1,0,0.013463,5.0547,0.6061,32.7165,60.00,7.00
