symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
ETHUSDT,2024-2026,102,BUY,sl,-108.2933,-1.0000,3,1,1,1,0.009742,5.5464,0.5253,33.1658,10.00,7.00
ETHUSDT,2024-2026,103,BUY,sl,-110.1078,-1.0000,4,1,2,2,0.006799,4.1445,0.5462,25.4748,5.00,18.00
ETHUSDT,2024-2026,104,SELL,sl,-107.9505,-1.0000,5,1,1,1,0.007620,5.2853,0.4154,21.6225,1.00,19.00
ETHUSDT,2024-2026,105,SELL,time,608.4520,6.4131,0,0,2,0,0.003079,3.8321,0.5524,14.2482,36.00,55.00
ETHUSDT,2024-2026,106,BUY,sl,-112.4021,-1.0000,1,0,1,1,0.008445,5.3918,0.2586,28.4763,24.00,11.00
ETHUSDT,2024-2026,107,BUY,time,-23.7013,-0.1257,2,0,2,2,0.006393,4.2077,0.8436,13.4823,19.00,22.00
ETHUSDT,2024-2026,108,SELL,sl,-121.2568,-1.0000,3,0,1,1,0.003739,3.1491,0.5067,15.5829,4.00,43.00
ETHUSDT,2024-2026,109,BUY,time,131.8096,1.4630,0,0,1,0,0.004025,3.8862,0.5343,14.3567,29.00,11.00
ETHUSDT,2024-2026,110,SELL,time,1565.4883,15.3412,0,0,1,0,0.004581,4.8139,0.8333,18.6027,98.00,16.00
ETHUSDT,2024-2026,111,SELL,sl,-130.2277,-1.0000,1,0,2,1,0.006851,4.7473,0.5527,18.9815,4.00,21.00
ETHUSDT,2024-2026,112,SELL,sl,-125.8093,-1.0000,2,0,3,2,0.009281,5.9545,1.3153,21.5619,5.00,7.00
ETHUSDT,2024-2026,113,BUY,sl,-124.1628,-1.0000,3,0,1,1,0.009487,3.7583,0.1217,14.1191,22.00,47.00
ETHUSDT,2024-2026,114,BUY,sl,-124.2047,-1.0000,4,0,2,2,0.008110,3.9462,1.3739,17.9966,1.00,10.00
ETHUSDT,2024-2026,115,BUY,time,1088.5556,9.7021,0,0,3,0,0.005886,6.0270,0.4352,11.0283,102.00,44.00
ETHUSDT,2024-2026,116,BUY,time,-23.2239,-0.0985,1,0,4,1,0.007563,4.6507,0.0364,18.7075,38.00,49.00
ETHUSDT,2024-2026,117,SELL,sl,-139.4812,-1.0000,2,0,1,1,0.005454,3.3326,0.4229,18.0007,1.00,11.00
ETHUSDT,2024-2026,118,SELL,sl,-129.9034,-1.0000,3,0,2,2,0.011695,2.9811,0.4736,20.6658,2.00,46.00
ETHUSDT,2024-2026,119,SELL,time,468.0993,3.9460,0,0,3,0,0.006900,5.5601,0.2489,20.3891,32.00,24.00
ETHUSDT,2024-2026,120,BUY,sl,-142.5403,-1.0000,1,0,1,1,0.005137,3.8446,0.0894,18.4389,4.00,34.00
ETHUSDT,2024-2026,121,BUY,sl,-139.7644,-1.0000,2,0,2,2,0.005535,6.2639,1.3283,16.1710,12.00,34.00
ETHUSDT,2024-2026,122,SELL,time,27.9597,0.2993,0,0,1,0,0.009153,3.9608,0.3638,18.5686,26.00,54.00
ETHUSDT,2024-2026,123,SELL,time,1163.2547,9.4585,0,0,2,0,0.011541,3.9731,1.1866,36.3705,82.00,16.00
ETHUSDT,2024-2026,124,SELL,sl,-140.8383,-1.0000,1,1,3,1,0.016521,3.5970,0.6073,14.6100,11.00,38.00
ETHUSDT,2024-2026,125,BUY,time,-63.8899,-0.4376,2,1,1,1,0.016751,5.5933,0.7967,21.0503,76.00,15.00
ETHUSDT,2024-2026,126,SELL,sl,-140.0143,-1.0000,3,1,1,1,0.013291,5.3374,0.0771,26.2278,7.00,4.00
ETHUSDT,2024-2026,127,SELL,sl,-139.7603,-1.0000,4,1,2,2,0.011225,5.0541,0.2424,18.8409,6.00,71.00
