name,months,final,total_pct,mean_month,median_month,geo_month,pos_months,best,worst,max_dd
BTCUSDT,73,385322.0264407025,38432.20264407025,9.729781448722246,6.524831958995092,8.498127821215174,67.12328767123287,2020-03 +52.0%,2023-07 -20.3%,-33.301143482020336
ETHUSDT,72,163037.01013601638,16203.70101360164,8.137191608459762,4.48783855826359,7.331252468950722,72.22222222222221,2023-01 +40.0%,2021-11 -15.1%,-30.592098880432683
equal-weight,73,274179.51828835945,27317.951828835947,8.624192092075027,7.299989025201148,7.993530646322156,76.71232876712328,2023-01 +43.0%,2023-07 -15.3%,-28.70156099386031
