id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2024-01-01 18:00,2024-01-01 19:00,2024-01-02 21:00,time,43111.10,42803.64,44788.27,307.46,531.20,14.29
2,SELL,2024-01-03 11:00,2024-01-03 12:00,2024-01-04 13:00,time,43702.89,44290.65,43378.11,587.76,50.39,7.80
3,BUY,2024-01-07 13:00,2024-01-07 14:00,2024-01-07 15:00,sl,44409.31,44092.37,44092.37,316.94,-120.59,14.77
4,SELL,2024-01-08 02:00,2024-01-08 03:00,2024-01-08 06:00,sl,43371.09,43777.25,43777.25,406.16,-115.83,11.22
5,BUY,2024-01-08 11:00,2024-01-08 12:00,2024-01-09 13:00,time,44636.00,44118.57,46166.36,517.43,296.89,9.08
6,SELL,2024-01-10 12:00,2024-01-10 13:00,2024-01-10 15:00,sl,44670.54,45489.06,45489.06,818.52,-112.28,5.86
7,BUY,2024-01-11 14:00,2024-01-11 15:00,2024-01-11 15:00,sl,48571.21,47579.68,47579.68,991.53,,
8,SELL,2024-01-12 14:00,2024-01-12 15:00,2024-01-15 14:00,time,45442.01,46031.36,42852.55,589.35,454.65,7.89
9,BUY,2024-01-15 18:00,2024-01-15 19:00,2024-01-15 22:00,sl,43015.82,42550.74,42550.74,465.08,-119.92,10.10
10,BUY,2024-01-16 21:00,2024-01-16 22:00,2024-01-17 01:00,sl,43434.71,42960.84,42960.84,473.87,-118.52,9.90
11,SELL,2024-01-18 16:00,2024-01-18 17:00,2024-01-19 19:00,time,41948.99,42294.39,41808.08,345.40,30.80,13.03
12,SELL,2024-01-22 04:00,2024-01-22 05:00,2024-01-22 05:00,sl,40786.41,41056.62,41056.62,270.21,,
13,SELL,2024-01-22 18:00,2024-01-22 19:00,2024-01-24 00:00,time,40316.00,40863.86,39897.59,547.86,74.34,7.88
14,BUY,2024-01-24 10:00,2024-01-24 11:00,2024-01-24 14:00,sl,40352.42,39822.53,39822.53,529.89,-116.61,8.20
15,BUY,2024-01-26 10:00,2024-01-26 11:00,2024-01-27 09:00,time,40692.64,40344.13,41470.01,348.51,226.56,12.64
16,BUY,2024-01-29 16:00,2024-01-29 17:00,2024-01-30 23:00,sl,43200.01,42754.54,42754.54,445.47,-120.07,10.56
17,SELL,2024-01-31 09:00,2024-01-31 10:00,2024-01-31 15:00,sl,42645.99,43032.36,43032.36,386.37,-120.31,12.01
18,SELL,2024-02-01 01:00,2024-02-01 02:00,2024-02-01 14:00,sl,41983.54,42548.87,42548.87,565.33,-115.11,8.01
19,BUY,2024-02-05 13:00,2024-02-05 14:00,2024-02-05 15:00,sl,43447.67,43082.94,43082.94,364.73,-118.52,12.57
20,BUY,2024-02-07 17:00,2024-02-07 18:00,2024-02-10 11:00,time,43499.91,43196.10,46884.22,303.81,1151.45,15.58
21,BUY,2024-02-11 03:00,2024-02-11 04:00,2024-02-11 07:00,sl,48519.60,48100.99,48100.99,418.61,-129.70,13.42
22,BUY,2024-02-12 00:00,2024-02-12 01:00,2024-02-12 02:00,sl,48604.01,48209.81,48209.81,394.20,-129.10,14.12
23,BUY,2024-02-12 15:00,2024-02-12 16:00,2024-02-12 16:00,sl,49917.80,49389.17,49389.17,528.63,,
24,BUY,2024-02-14 08:00,2024-02-14 09:00,2024-02-15 22:00,time,50758.00,50092.84,51327.27,665.16,88.53,8.72
25,SELL,2024-02-17 14:00,2024-02-17 15:00,2024-02-17 15:00,sl,50841.09,51173.76,51173.76,332.67,,
26,BUY,2024-02-18 22:00,2024-02-18 23:00,2024-02-19 16:00,sl,52239.79,51892.36,51892.36,347.43,-131.58,17.15
27,BUY,2024-02-20 13:00,2024-02-20 14:00,2024-02-20 14:00,sl,52840.14,52414.09,52414.09,426.05,,
28,SELL,2024-02-23 07:00,2024-02-23 08:00,2024-02-24 17:00,time,50915.95,51412.54,51215.03,496.59,-79.71,11.63
29,BUY,2024-02-26 15:00,2024-02-26 16:00,2024-02-29 18:00,time,52842.33,52444.15,60982.35,398.18,2278.71,16.04
30,BUY,2024-03-03 16:00,2024-03-03 17:00,2024-03-04 00:00,sl,62845.14,62360.32,62360.32,484.82,-152.48,17.44
31,BUY,2024-03-04 08:00,2024-03-04 09:00,2024-03-05 17:00,sl,65241.08,64374.75,64374.75,866.33,-143.50,9.99
32,SELL,2024-03-05 19:00,2024-03-05 20:00,2024-03-05 21:00,sl,61410.98,63632.78,63632.78,2221.80,-135.80,3.72
33,BUY,2024-03-08 14:00,2024-03-08 15:00,2024-03-08 15:00,sl,68422.00,67735.84,67735.84,686.16,,
34,BUY,2024-03-10 04:00,2024-03-10 05:00,2024-03-10 14:00,sl,69403.82,68955.28,68955.28,448.54,-150.81,20.15
35,BUY,2024-03-11 07:00,2024-03-11 08:00,2024-03-12 17:00,time,71019.99,70046.51,70507.38,973.48,-77.39,9.39
36,BUY,2024-03-13 08:00,2024-03-13 09:00,2024-03-13 13:00,sl,73433.49,72270.93,72270.93,1162.56,-136.42,8.04
37,SELL,2024-03-14 15:00,2024-03-14 16:00,2024-03-15 00:00,sl,70844.00,71767.48,71767.48,923.48,-136.82,9.81
38,SELL,2024-03-16 18:00,2024-03-16 19:00,2024-03-17 15:00,time,67030.60,67920.48,67609.99,889.88,-91.31,9.50
39,SELL,2024-03-19 01:00,2024-03-19 02:00,2024-03-20 19:00,time,65851.60,66967.47,65414.93,1115.87,41.47,7.34
40,BUY,2024-03-20 19:00,2024-03-20 20:00,2024-03-21 18:00,time,65784.47,64083.53,65724.99,1700.94,-9.21,4.84
41,SELL,2024-03-22 11:00,2024-03-22 12:00,2024-03-23 08:00,time,64233.90,65278.74,64575.41,1044.84,-48.58,7.71
42,BUY,2024-03-23 16:00,2024-03-23 17:00,2024-03-23 20:00,sl,65661.33,64710.82,64710.82,950.51,-133.11,8.54
43,BUY,2024-03-24 20:00,2024-03-24 21:00,2024-03-29 06:00,time,66161.87,65387.16,70180.71,774.71,628.44,10.84
44,SELL,2024-03-29 15:00,2024-03-29 16:00,2024-03-29 22:00,sl,69179.99,69812.03,69812.03,632.04,-143.76,14.24
45,BUY,2024-03-31 23:00,2024-04-01 00:00,2024-04-01 01:00,sl,71280.00,70844.03,70844.03,435.97,-148.96,20.88
46,SELL,2024-04-01 05:00,2024-04-01 06:00,2024-04-01 07:00,sl,69167.47,69725.35,69725.35,557.88,-142.35,15.76
47,SELL,2024-04-01 15:00,2024-04-01 16:00,2024-04-01 18:00,sl,68237.15,68975.09,68975.09,737.94,-136.80,11.64
48,SELL,2024-04-02 02:00,2024-04-02 03:00,2024-04-03 05:00,time,66996.01,67977.61,66320.41,981.60,76.80,8.41
49,BUY,2024-04-04 13:00,2024-04-04 14:00,2024-04-05 05:00,sl,67242.14,66581.12,66581.12,661.02,-137.18,12.61
50,BUY,2024-04-06 22:00,2024-04-06 23:00,2024-04-09 07:00,time,69056.00,68590.64,70765.70,465.36,434.11,18.51
51,SELL,2024-04-09 14:00,2024-04-09 15:00,2024-04-10 20:00,time,69358.32,70228.68,70084.00,870.36,-116.55,10.22
52,BUY,2024-04-10 22:00,2024-04-10 23:00,2024-04-11 14:00,sl,70528.00,69624.20,69624.20,903.80,-136.17,9.80
53,SELL,2024-04-12 14:00,2024-04-12 15:00,2024-04-14 23:00,time,69270.02,69905.77,65330.29,635.75,761.45,13.23
54,BUY,2024-04-15 06:00,2024-04-15 07:00,2024-04-15 14:00,sl,66463.63,65286.60,65286.60,1177.03,-140.05,7.42
55,SELL,2024-04-17 14:00,2024-04-17 15:00,2024-04-18 11:00,sl,61279.65,62242.61,62242.61,962.96,-139.64,8.42
56,BUY,2024-04-18 14:00,2024-04-18 15:00,2024-04-18 17:00,sl,63816.56,62782.65,62782.65,1033.91,-137.78,7.95
57,BUY,2024-04-19 06:00,2024-04-19 07:00,2024-04-19 23:00,sl,64624.37,63063.24,63063.24,1561.13,-133.70,5.25
58,BUY,2024-04-22 03:00,2024-04-22 04:00,2024-04-24 14:00,time,65703.49,65016.40,66055.00,687.09,52.84,12.19
59,SELL,2024-04-24 14:00,2024-04-24 15:00,2024-04-25 18:00,time,65234.86,65808.50,64703.99,573.64,103.67,14.46
60,SELL,2024-04-27 00:00,2024-04-27 01:00,2024-04-27 18:00,time,63182.00,63897.40,63416.22,715.40,-53.51,11.39
61,SELL,2024-04-29 02:00,2024-04-29 03:00,2024-04-29 17:00,sl,62706.34,63185.71,63185.71,479.37,-144.97,16.83
62,BUY,2024-04-30 00:00,2024-04-30 01:00,2024-04-30 01:00,sl,64579.99,63804.80,63804.80,775.19,,
63,SELL,2024-04-30 09:00,2024-04-30 10:00,2024-05-03 13:00,time,61688.01,62561.12,60641.00,873.11,142.99,8.87
64,BUY,2024-05-03 13:00,2024-05-03 14:00,2024-05-06 13:00,time,61689.95,60833.28,63593.99,856.67,275.28,9.36
65,SELL,2024-05-06 14:00,2024-05-06 15:00,2024-05-07 08:00,sl,63271.97,64010.21,64010.21,738.24,-142.10,11.28
66,SELL,2024-05-07 23:00,2024-05-08 00:00,2024-05-09 16:00,time,62312.07,63048.02,62159.06,735.95,15.96,10.94
67,BUY,2024-05-09 22:00,2024-05-09 23:00,2024-05-10 14:00,sl,63280.46,62542.02,62542.02,738.44,-140.60,11.04
68,BUY,2024-05-13 07:00,2024-05-13 08:00,2024-05-14 06:00,sl,62334.36,61765.19,61765.19,569.17,-142.13,13.97
69,BUY,2024-05-15 12:00,2024-05-15 13:00,2024-05-16 15:00,time,63757.57,63143.35,65598.70,614.22,366.54,13.35
70,BUY,2024-05-17 14:00,2024-05-17 15:00,2024-05-19 17:00,time,66806.67,66198.55,66662.00,608.12,-45.33,14.31
71,SELL,2024-05-19 19:00,2024-05-19 20:00,2024-05-20 01:00,sl,66034.01,66515.73,66515.73,481.72,-147.82,17.88
72,BUY,2024-05-20 16:00,2024-05-20 17:00,2024-05-21 16:00,time,68190.06,67572.92,69827.00,617.14,326.39,14.37
73,SELL,2024-05-23 13:00,2024-05-23 14:00,2024-05-24 16:00,time,68036.14,68766.79,68326.46,730.65,-64.64,12.29
74,BUY,2024-05-25 10:00,2024-05-25 11:00,2024-05-25 13:00,sl,69388.00,68938.04,68938.04,449.96,-151.23,20.15
