variant,window,return,max_dd,n,net_wr,sum_r,pf,fees,balance,calmar
baseline,2020-2023,9.470005,-0.278874,753,0.259475,354.2546,1.434505,32520.54,104700.05,33.958044
invert_after_loss,2020-2023,2.428072,-0.268287,895,0.272610,226.3957,1.249355,16044.93,34280.72,9.050273
ial+adaptive,2020-2023,3.393442,-0.285117,895,0.272610,226.3957,1.342546,15732.11,43934.42,11.901938
