variant,window,return,max_dd,n,net_wr,pf,balance,calmar
baseline,2020-2023,7.281338,-0.301612,712,0.286517,1.253928,82813.38,24.141396
ls5_cond_brk2.0,2020-2023,7.926575,-0.257835,690,0.288406,1.275869,89265.75,30.742833
baseline,2024-2026,2.358155,-0.152896,514,0.287938,1.376801,33581.55,15.423290
ls5_cond_brk2.0,2024-2026,2.317483,-0.181353,500,0.286000,1.384242,33174.83,12.778884
